regime,n,metric,paired_draws,mean_improvement_percent,median_improvement_percent,improvement_q25,improvement_q75,median_ci025,median_ci975,rfd_win_percent
I-O,2048,loading projector,32,77.15196056665297,83.8131849489026,70.45891560461303,89.52684490813255,74.85064724131716,86.92185542531418,100.0
I-O,2048,factor scores,32,-66.33848264967136,-68.84512497362257,-80.23786412017056,-53.94508027822552,-79.33714151958972,-57.761440216374396,0.0
I-O,2048,observation reconstruction,32,26.616604663937338,26.30258326848783,25.507754616736367,27.087762891026284,25.746991873756166,26.834877298922855,100.0
I-O,2048,latent-signal reconstruction,32,39.299374328181855,38.79222368490561,37.62358993669144,41.165855088577125,37.93009649760259,39.99290718040844,100.0
I-O,8192,loading projector,32,77.95073153495053,84.28491965890409,77.4652002586058,91.00476554352775,79.58566252160469,89.95380872801118,96.875
I-O,8192,factor scores,32,-25.38416127834818,-23.824484235986695,-31.836396887909864,-18.990068170829115,-27.040176558810426,-21.24331324438743,0.0
I-O,8192,observation reconstruction,32,26.472014992932216,26.321874126217352,25.889371711474674,26.607224531541874,26.000866036200527,26.5281103844944,100.0
I-O,8192,latent-signal reconstruction,32,39.270945803300904,39.17273689558895,38.35849676097055,39.89110037266265,38.92880134981301,39.49405882320185,100.0
P-A-000,8192,loading projector,32,-3.004933044895719,-3.753841231422869,-10.904766020481084,7.493812181262683,-8.003304153913488,6.652764734282394,46.875
P-A-000,8192,factor scores,32,-26.046212738817736,-24.558557267903986,-29.99912891800135,-20.32510373188651,-27.837222635912298,-22.47162720340314,0.0
P-A-000,8192,observation reconstruction,32,-0.1410448990442294,-0.13916711999857428,-0.17354130487582042,-0.09763991007509112,-0.16717664461034004,-0.10990756250040537,0.0
P-A-000,8192,latent-signal reconstruction,32,-0.5829082316100449,-0.5707332909873761,-0.6328768616357676,-0.5360657107374563,-0.6087615117477007,-0.5448815159986541,0.0
P-A-010,8192,loading projector,32,-2.9739178116453377,-3.8326038773361297,-11.173896037776704,6.951205381223855,-7.625997413241897,5.593479039236694,46.875
P-A-010,8192,factor scores,32,-18.713908285978825,-17.30931324484534,-22.185404303163438,-13.730923228645874,-20.608660051611512,-15.965044398295053,0.0
P-A-010,8192,observation reconstruction,32,-0.1411635087962216,-0.139593685017376,-0.17288341095993878,-0.09585762428085379,-0.16962089844452205,-0.10675599655095894,0.0
P-A-010,8192,latent-signal reconstruction,32,-0.5825726937866127,-0.5674104252830827,-0.6300043119953822,-0.5359311411250317,-0.609545073256251,-0.5440407114971841,0.0
P-A-020,8192,loading projector,32,-3.390929150423246,-3.7804868165515693,-11.317211595497835,5.93568012945441,-8.41233436271171,4.7537369077101825,40.625
P-A-020,8192,factor scores,32,-2.6429614338380865,-1.7018734842307017,-5.272446431751277,1.4249403186027043,-4.507397007593561,-0.6605147486126535,31.25
